tanggal,kasus_harian,kematian_harian,positivity_rate
3/15/2020,19,,28.9
3/16/2020,14,,16.6
3/17/2020,0,,15.6
3/18/2020,30,,12.3
3/19/2020,52,,24.4
3/20/2020,5,,19.4
3/21/2020,44,5,16.4
3/22/2020,40,6,30.8
3/23/2020,44,,19.2
3/24/2020,70,2,14.1
3/25/2020,39,,15.2
3/26/2020,53,15,17.9
3/27/2020,83,5,17
3/28/2020,38,11,18.2
3/29/2020,48,6,21.9
3/30/2020,24,6,17.8
3/31/2020,41,9,16.5
4/1/2020,62,2,16
4/2/2020,80,5,24.2
4/3/2020,74,,13.3
4/4/2020,55,1,18
4/5/2020,96,6,34
4/6/2020,101,4,29.5
4/7/2020,135,7,22.5
4/8/2020,101,8,19.9
4/9/2020,236,28,16.8
4/10/2020,47,12,19.9
4/11/2020,196,5,15.3
4/12/2020,96,36,20.8
4/13/2020,160,9,10.1
4/14/2020,130,37,5.9
4/15/2020,139,,6.1
4/16/2020,196,2,7.6
4/17/2020,154,2,8.3
4/18/2020,109,7,8.4
4/19/2020,108,34,6.3
4/20/2020,79,,8.1
4/21/2020,163,11,7.5
4/22/2020,119,3,6.8
4/23/2020,133,,8
4/24/2020,85,25,9.2
4/25/2020,85,20,6.7
4/26/2020,114,7,6.4
4/27/2020,70,14,5.5
4/28/2020,133,3,8.8
4/29/2020,90,,8.4
4/30/2020,82,1,7.2
5/1/2020,142,4,7.1
5/2/2020,80,17,8.6
5/3/2020,67,6,5.9
5/4/2020,79,10,6.1
5/5/2020,148,1,4.8
5/6/2020,83,5,6.8
5/7/2020,85,9,5.5
5/8/2020,100,1,7.8
5/9/2020,101,3,7
5/10/2020,134,7,8.8
5/11/2020,86,7,4.9
5/12/2020,99,2,9.8
5/13/2020,183,6,8.4
5/14/2020,134,3,7.3
5/15/2020,86,8,8.8
5/16/2020,107,,8.8
5/17/2020,132,3,7.8
5/18/2020,49,,8.3
5/19/2020,98,7,10.6
5/20/2020,81,2,7.4
5/21/2020,65,9,7.9
5/22/2020,99,18,9.4
5/23/2020,115,1,11.1
5/24/2020,119,,8.8
5/25/2020,75,,10.7
5/26/2020,89,,11
5/27/2020,97,8,8.4
5/28/2020,105,,10.9
5/29/2020,125,,6.6
5/30/2020,101,7,9.3
5/31/2020,118,1,10.5
6/1/2020,137,1,10
6/2/2020,60,,11.1
6/3/2020,82,5,11.7
6/4/2020,94,,10.4
6/5/2020,76,1,8.9
6/6/2020,104,,10.9
6/7/2020,163,5,6.9
6/8/2020,89,,10.5
6/9/2020,232,4,13.9
6/10/2020,157,2,14
6/11/2020,128,2,10
6/12/2020,93,3,8.8
6/13/2020,121,8,11.6
6/14/2020,117,7,10.5
6/15/2020,142,2,9.2
6/16/2020,101,,13.9
6/17/2020,127,6,13.4
6/18/2020,173,15,11.3
6/19/2020,141,,11.3
6/20/2020,180,7,13.1
6/21/2020,142,1,12
6/22/2020,127,,13.1
6/23/2020,160,8,11
6/24/2020,157,8,14.4
6/25/2020,196,6,14.9
6/26/2020,205,8,11.8
6/27/2020,203,8,14.1
6/28/2020,125,1,12.3
6/29/2020,125,,10.1
6/30/2020,190,7,13.9
7/1/2020,217,,15.2
7/2/2020,190,6,15.3
7/3/2020,140,5,16.5
7/4/2020,223,,18.4
7/5/2020,257,6,17.8
7/6/2020,232,,15.3
7/7/2020,190,12,15.5
7/8/2020,357,4,16.7
7/9/2020,284,6,15.1
7/10/2020,260,,15.2
7/11/2020,378,10,16.3
7/12/2020,404,10,20.7
7/13/2020,281,6,19.9
7/14/2020,268,4,18.1
7/15/2020,260,5,18.5
7/16/2020,312,7,16.9
7/17/2020,253,6,18.5
7/18/2020,346,8,18.8
7/19/2020,313,9,17.6
7/20/2020,361,9,16.4
7/21/2020,433,8,18.3
7/22/2020,392,5,16.3
7/23/2020,470,2,17.6
7/24/2020,297,4,18.7
7/25/2020,376,,21.6
7/26/2020,384,4,20.6
7/27/2020,467,10,20.3
7/28/2020,409,15,18.1
7/29/2020,577,14,20.4
7/30/2020,397,19,17.2
7/31/2020,430,14,17.3
8/1/2020,368,12,20.1
8/2/2020,377,1,21.3
8/3/2020,472,16,17.6
